Image Name,PSNR,SSIM,LPIPS,NIQE
ahe_clahe,18.252278,0.66756847,0.142338887,0.642531539
ahe_ghe,8.953594844,0.360873841,0.41497767,3.448216729
lime_DUAL,13.49942937,0.649469088,0.150625065,0.927175247
lime_LIME,15.55508224,0.722184961,0.12956433,1.20839301
retinex_Auto_retinex,9.04137147,0.335580821,0.386752784,3.878975915
retinex_MSRCP,9.367833705,0.482157909,0.258333445,0.365148372
retinex_MSRCR,8.388279315,0.429093118,0.211646825,0.535876602
retinex_2_AMSR,9.053080937,0.395801141,0.355693698,0.903101955
retinex_2_MSR,7.97775736,0.394897574,0.337177187,7.453612047
retinex_2_MSRCP,9.295060408,0.488681265,0.260007083,0.365148372
retinex_2_MSRCR,8.169405581,0.389404066,0.353680909,0.930310529
retinex_2_SSR(15),8.375372128,0.415007335,0.336812079,5.327408295
retinex_2_SSR(250),7.482642162,0.375019195,0.35977599,22.0255794
retinex_2_SSR(80),7.989759576,0.395378558,0.333103389,7.738931446
